split,target_prev,baseline_seed,baseline_winner,winner_flip_pct,kendall_tau_mean,spearman_rho_mean,stable_under_thresholds
S1,-1.0,1001,xgb,0.0,0.9999999999999998,0.9999999999999998,True
S1,0.1,1001,xgb,5.0,0.9684210526315788,0.9842105263157892,True
S1,0.2,1001,xgb,20.0,0.8631578947368422,0.9263157894736841,False
S1,0.3,1001,xgb,25.0,0.7368421052631579,0.868421052631579,False
S1,0.4,1001,xgb,65.0,0.8526315789473682,0.9263157894736841,False
S1,0.5,1001,xgb,60.0,0.7999999999999999,0.8999999999999999,False
S2,-1.0,1001,xgb,0.0,0.8,0.8999999999999997,True
S2,0.1,1001,xgb,0.0,0.9052631578947368,0.9526315789473683,True
S2,0.2,1001,xgb,5.0,0.9263157894736841,0.9631578947368418,True
S2,0.3,1001,xgb,20.0,0.5578947368421052,0.694736842105263,False
S2,0.4,1001,xgb,35.0,0.7789473684210526,0.8894736842105262,False
S2,0.5,1001,xgb,40.0,0.8210526315789474,0.9105263157894735,False
