split,flip_thr,tau_thr,baseline_seed,baseline_severity,baseline_winner_det,max_stable_severity_det,max_stable_severity_tie,flip_onset_det,flip_onset_tie
S1,0.0,0.7,1001,-1.0,xgb,-1.0,-1.0,0.1,0.1
S1,0.0,0.8,1001,-1.0,xgb,-1.0,-1.0,0.1,0.1
S1,0.0,0.9,1001,-1.0,xgb,-1.0,-1.0,0.1,0.1
S1,5.0,0.7,1001,-1.0,xgb,0.1,-1.0,0.1,0.1
S1,5.0,0.8,1001,-1.0,xgb,0.1,-1.0,0.1,0.1
S1,5.0,0.9,1001,-1.0,xgb,0.1,-1.0,0.1,0.1
S1,10.0,0.7,1001,-1.0,xgb,0.1,0.1,0.1,0.1
S1,10.0,0.8,1001,-1.0,xgb,0.1,0.1,0.1,0.1
S1,10.0,0.9,1001,-1.0,xgb,0.1,0.1,0.1,0.1
S2,0.0,0.7,1001,-1.0,xgb,0.1,0.1,0.2,0.2
S2,0.0,0.8,1001,-1.0,xgb,0.1,0.1,0.2,0.2
S2,0.0,0.9,1001,-1.0,xgb,0.1,0.1,0.2,0.2
S2,5.0,0.7,1001,-1.0,xgb,0.2,0.2,0.2,0.2
S2,5.0,0.8,1001,-1.0,xgb,0.2,0.2,0.2,0.2
S2,5.0,0.9,1001,-1.0,xgb,0.2,0.2,0.2,0.2
S2,10.0,0.7,1001,-1.0,xgb,0.2,0.2,0.2,0.2
S2,10.0,0.8,1001,-1.0,xgb,0.2,0.2,0.2,0.2
S2,10.0,0.9,1001,-1.0,xgb,0.2,0.2,0.2,0.2
